Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-04-15,250.04119873046875,250.45551812968904,248.33572599552357,248.52841833215172,25627500
2021-04-16,251.23593139648438,251.4864637201999,248.2104007251918,250.01223390218613,24878600
2021-04-19,249.30880737304688,251.9489532014055,248.42235823185737,250.70596601745999,23209300
2021-04-20,248.8463897705078,250.71567880262714,247.47813606666094,248.42242549073595,19722900
2021-04-21,251.08177185058594,251.17813270314747,247.87316423723325,249.5015656083509,24030400
2021-04-22,247.79612731933594,252.2380780035943,246.3218825256736,250.7252976851622,25606200
2021-04-23,251.63104248046875,251.97793572411658,247.8924642828433,248.4802449938102,21462600
2021-04-26,252.01651000976562,252.87408368984674,250.68683560846304,252.1225158085824,19763300
2021-04-27,252.42117309570312,253.59670517141066,250.63859986706004,252.04537451332973,31014200
2021-04-28,245.28126525878906,247.18910468607802,243.72994929963662,246.7458505511702,46903100
2021-04-29,243.3059539794922,246.76510892515492,239.92389948451506,246.14843764309805,40589000
2021-04-30,242.98797607421875,243.85517969639238,240.50203058408832,240.63692696496827,30945100
2021-05-03,242.6796417236328,245.07888590495,241.96660961246243,244.1635018762169,19626600
2021-05-04,238.75799560546875,242.0533488201837,236.80199071116783,241.82209157802384,32756100
2021-05-05,237.48609924316406,240.40565370108126,236.85979780995348,239.98168947440254,21901300
2021-05-06,240.6273193359375,240.75258553137638,235.77103416931135,237.46687674918292,26491100
2021-05-07,243.25782775878906,245.03075614481534,242.01484008516664,242.95911492297978,27032900
2021-05-10,238.1702423095703,242.55439702053783,238.1124316716074,241.72574357032727,29299900
2021-05-11,237.25486755371094,237.61139098411766,233.7282863940429,235.6361109168277,33641600
2021-05-12,230.2884063720703,235.47230909481863,229.39231209908553,233.34285752909457,36684400
2021-05-13,234.17149353027344,236.64782343406685,232.62017785153265,232.9863314597455,29624300
2021-05-14,239.1048583984375,240.09731343906537,236.54182730369283,236.62854325032586,23901100
2021-05-17,236.24313354492188,237.6017422952167,234.64365204657955,237.56320677225798,24970200
2021-05-18,234.2196502685547,237.42827236164385,234.0462036865116,237.29337599898847,20168000
2021-05-19,234.7991180419922,234.9053538383617,230.4338274230199,231.11951914240865,25739800
2021-05-20,238.0441436767578,239.4638336631731,235.51381868114396,235.61040204566228,21800700
2021-05-21,236.77899169921875,239.8308434203437,236.36371563375428,239.09685992167127,21863100
2021-05-24,242.19700622558594,242.56400536992075,239.0389184634438,239.3093342319366,21411500
2021-05-25,243.10484313964844,244.0995900427976,242.2356516810021,243.15313482880757,17704300
